role,name,team
student,damithc,CS2103T-W11-1
student,ooimingsheng,CS2103-T11-3
student,AHaliq,CS2103-F09-2
student,SendorasLeft,CS2103-T11-2
student,openorclose,CS2103T-T13-4
student,jon-chua,CS2103T-F13-2
student,iltep64,CS2103T-W11-4
student,LivingOnEdge,CS2103-T16-3
student,fangpinsern,CS2103T-W11-4
student,JermyTan,CS2103T-F11-2
student,thwnus,CS2103T-W13-4
student,yeodonghan,CS2103T-T09-4
student,KendrickAng,CS2103-F09-1
student,tcgj,CS2103T-W13-4
student,hoholyin,CS2103T-F13-1
student,wongchuankai,CS2103T-F13-4
student,Kalsyc,CS2103T-F11-2
student,olivercheok20,CS2103-F09-4
student,qweiping31415,CS2103T-T11-1
student,weihaw08,CS2103T-T09-2
student,SamYJ2606,CS2103T-F14-4
student,madanalogy,CS2103-T11-1
student,CheongLiYuan,CS2103-T11-2
student,zhangxuan97,CS2103-F10-2
student,chen-xi-cx,CS2103-T16-1
student,e0031374,CS2103T-F12-3
student,AhmadHatziq,CS2103-T14-2
student,lzw12345,CS2103-T14-3
student,khiangleon,CS2103-F10-3
student,HoWeiChin,CS2103-T11-3
student,Xelyion,CS2103-T14-1
student,ShaunNgTX,CS2103-F10-3
student,limxuanhui,CS2103-T14-4
student,neoshh,CS2103-F10-3
student,muhammadaljunied,CS2103-T14-4
student,Ellieyee,CS2103-T14-2
student,bitterg0d,CS2103T-W13-1
student,LeonardTay748,CS2103T-T12-4
student,huiminlim,CS2103-F09-2
student,dalsontws,CS2103T-T12-4
student,atharvjoshi,CS2103-T11-1
student,teika97,CS2103-F10-2
student,Alvinnyk,CS2103T-T10-4
student,tohcejasmine,CS2103-T16-2
student,CoderStellaJ,CS2103T-T13-3
student,Cary-Xx,CS2103-T14-4
student,eshwarkp,CS2103T-T11-3
student,kxyoke,CS2103T-T13-4
student,Na-Nazhou,CS2103T-T13-4
student,SebastianLie,CS2103-T14-1
student,niqiukun,CS2103T-F11-3
student,LeeYiyuan,CS2103T-W12-4
student,francislow,CS2103-F10-1
student,jxofficial,CS2103-F10-3
student,tuandingwei,CS2103-T16-2
student,nexolute,CS2103T-W12-4
student,Q-gabe,CS2103T-F12-2
student,TeoShyanJie,CS2103T-F14-2
student,Parcly-Taxel,CS2103T-F11-4
student,jascxx,CS2103T-T11-2
student,choongyx,CS2103T-F13-3
student,nattanyz,CS2103-F09-2
student,weiyang13,CS2103T-W12-4
student,charliechoong,CS2103T-T12-2
student,Alaete,CS2103T-W12-4
student,scwaterbear,CS2103-T16-1
student,Oscar-B-Liang,CS2103-T14-3
student,ZhangHuafan,CS2103-T16-1
student,LuWenQ,CS2103T-W11-1
student,jyx11011,CS2103-T16-1
student,le0tan,CS2103T-W11-1
student,tirameshu,CS2103-T11-1
student,MistyRainforest,CS2103-T11-2
student,lrchema,CS2103T-T10-3
student,xinmingzh,CS2103T-F12-4
student,Cronyxx,CS2103T-F13-1
student,liakify,CS2103T-W11-2
student,sreesubbash,CS2103T-T11-2
student,alexwxh,CS2103T-W13-1
student,aidilfbk,CS2103T-T10-4
student,crazoter,CS2103-F10-1
student,ambhinav,CS2103T-T12-1
student,bruceskellator,CS2103T-F12-1
student,marcusteh1238,CS2103T-F12-1
student,bjhoohaha,CS2103T-T17-2
student,SQwQ,CS2103T-F12-2
student,fadisng,CS2103T-T17-1
student,EugeneTeu,CS2103T-T09-4
student,chanjunren,CS2103T-W13-3
student,ccyccyccy,CS2103T-T17-1
student,SoilingRogue,CS2103T-T12-2
student,ArunBeCoding,CS2103T-T12-1
student,bigjunnn,CS2103T-T10-2
student,joloong,CS2103T-W12-3
student,FelixNWJ,CS2103T-W11-4
student,alages97,CS2103T-W13-2
student,ning-sy210,CS2103T-F14-1
student,JohnNzj,CS2103T-W11-2
student,DivineDX,CS2103T-T11-3
student,lumwb,CS2103T-W13-2
student,jun-ha0,CS2103T-F14-3
student,R-D-D-D,CS2103T-T17-1
student,PhireHandy,CS2103-F09-2
student,marcfyk,CS2103T-T10-1
student,geshuming,CS2103T-W13-1
student,jityong,CS2103T-F11-3
student,alxkohh,CS2103T-F14-1
student,blimyj,CS2103T-T10-3
student,khairulazman1997,CS2103T-T10-2
student,1nefootstep,CS2103T-T09-1
student,eejian97,CS2103T-F11-3
student,ybchen97,CS2103-F09-4
student,podocarp,CS2103T-W11-2
student,shaoyi1997,CS2103T-T13-2
student,ryanYtan,CS2103T-T10-1
student,fabbbbbbyy,CS2103T-W13-2
student,TheRealRavager,CS2103T-T13-1
student,Aulud,CS2103T-W11-2
student,whneo97,CS2103-T16-1
student,CowSaysBaa,CS2103T-W13-1
student,teoha,CS2103T-T11-4
student,daekoon,CS2103T-W11-2
student,mirozo,CS2103-F09-1
student,sianghwee,CS2103T-T10-3
student,zhixianggg,CS2103T-T09-4
student,timothyleong97,CS2103-F09-2
student,lumos309,CS2103-T14-2
student,dcshzj,CS2103-F09-1
student,lyskevin,CS2103T-F14-3
student,Kyzure,CS2103T-F12-1
student,bakwxh,CS2103T-T10-2
student,Davidcwh,CS2103T-F12-4
student,AaronLuk,CS2103-T11-2
student,limhawjia,CS2103T-F14-1
student,etlow,CS2103T-T12-2
student,klementtan,CS2103T-T10-4
student,seeziyang,CS2103T-F13-1
student,brianyenna,CS2103T-F11-1
student,t-cheepeng,CS2103T-T09-2
student,ChengGeng97,CS2103T-F12-1
student,WeomuCat,CS2103T-F12-1
student,moziliar,CS2103-T16-3
student,andyylam,CS2103-F09-3
student,seanlowjk,CS2103T-F13-2
student,OneArmyj,CS2103T-T09-1
student,uberSaiyan,CS2103T-T09-4
student,dingyuchen,CS2103T-W12-3
student,hcwong,CS2103T-F11-1
student,berttwm,CS2103T-W12-3
student,oscarsu97,CS2103T-T09-1
student,Sam-limyr,CS2103T-W13-3
student,hooncp,CS2103T-F11-3
student,halfwhole,CS2103-F09-3
student,briyanii,CS2103T-T11-1
student,CarbonGrid,CS2103T-T09-3
student,ReignOfComputer,CS2103T-F12-2
student,limerencee,CS2103T-W12-2
student,gachia,CS2103T-F12-2
student,Russell-Loh-NUS,CS2103T-W13-2
student,shihaoyap,CS2103T-T11-3
student,JunHongT,CS2103T-W11-3
student,dvrylc,CS2103T-W11-3
student,SakuraBlossom,CS2103T-T09-3
student,ryantay232,CS2103T-T12-2
student,lightz96,CS2103T-W12-2
student,wongsm7,CS2103T-T09-3
student,Nanosync,CS2103T-F13-3
student,krusagiz,CS2103T-W12-2
student,junnbang,CS2103T-F14-4
student,choonx99,CS2103-T14-4
student,minpyaemoe,CS2103T-F13-3
student,ChangUo79,CS2103T-T12-3
student,Wingedevil,CS2103T-F12-2
student,LeowWB,CS2103T-T12-4
student,eizon05,CS2103T-T11-4
student,Sahilgat,CS2103T-W13-3
student,stevenwjy,CS2103T-F12-3
student,joannasara,CS2103-T16-2
student,victorvic54,CS2103-T16-2
student,austinsantoso,CS2103T-F13-3
student,Yehezkiel01,CS2103T-F12-3
student,ryoarmanda,CS2103T-T11-1
student,honhaochen,CS2103T-T17-2
student,ChrisKheng,CS2103-F09-1
student,lye-jw,CS2103T-W12-2
student,chaitanyabaranwal,CS2103-F09-4
student,SakshiPradyumn,CS2103T-T11-4
student,TSAI-HSIAO-HAN,CS2103T-T13-4
student,troomtroom,CS2103T-W12-4
student,dragontho,CS2103T-T11-2
student,gabrielchao,CS2103-F10-1
student,ArgVampir,CS2103T-F14-4
student,john0227,CS2103T-F11-1
student,heze8,CS2103T-F13-4
student,elsakoh,CS2103T-T12-1
student,dawo5010,CS2103T-T13-3
student,gabrielseow,CS2103T-T12-1
student,Xuerneas,CS2103T-F14-2
student,brebeek,CS2103T-F14-3
student,Auxinnn,CS2103T-F11-4
student,waynefong0401,CS2103T-F12-4
student,MauriceTXS,CS2103T-W11-4
student,mrchensheng21,CS2103-F09-1
student,walnads,CS2103T-W11-3
student,ambervoong,CS2103T-T13-2
student,jietung,CS2103T-T09-2
student,nordic96,CS2103T-F14-3
student,jaesimin,CS2103T-W13-3
student,marqueurs404,CS2103T-T10-4
student,wilfredbtan,CS2103-F10-3
student,shiweing,CS2103T-F12-3
student,hua-lun,CS2103T-T10-2
student,woon17,CS2103T-T09-3
student,Crisgu,CS2103T-T11-3
student,Yen-Peng,CS2103T-T13-1
student,jonathantjendana,CS2103T-F13-3
student,yyuanxin,CS2103T-T10-2
student,belbel98,CS2103-T11-3
student,rongrongrr,CS2103-T16-4
student,shawnkoh,CS2103-T11-3
student,ang-zeyu,CS2103T-T11-4
student,jcjjjared,CS2103T-F13-4
student,zhangj1an,CS2103T-F14-1
student,tysng,CS2103T-F14-4
student,Icesiolz,CS2103T-T10-3
student,kangyeelim,CS2103T-T13-3
student,jeongyh99,CS2103T-W13-2
student,shuiyao-sg,CS2103T-F11-4
student,ckb055,CS2103T-W13-3
student,tswuxia,CS2103T-F13-4
student,tanlk99,CS2103T-F12-3
student,ernestyyh,CS2103T-T09-1
student,EvonDong,CS2103T-T13-3
student,ngswbryan,CS2103T-F14-2
student,arjunwangty,CS2103T-T11-4
student,kelvinnharris,CS2103-F10-2
student,Akimatsu98,CS2103-T14-3
student,chrischenhui,CS2103T-T11-2
student,ShirleyWangxt,CS2103T-F11-4
student,MackyMaguire,CS2103T-T12-2
student,dalisc,CS2103T-T13-2
student,C-likethis123,CS2103T-T13-1
student,fatclarence,CS2103T-F13-2
student,ShuTingY,CS2103T-T12-4
student,gary-lgy,CS2103-T16-3
student,robytanama,CS2103T-F13-2
student,WilliamRyank,CS2103T-T13-1
student,arjavibahety,CS2103T-T13-2
student,kohyida1997,CS2103T-T11-2
student,irene-lly,CS2103T-F11-4
student,wallacelim97,CS2103T-W12-3
student,liawsy,CS2103T-F11-2
student,ChenJiehan318,CS2103T-W13-4
student,cheongsiuhong,CS2103-F10-1
student,yewon0303,CS2103T-W12-3
student,cutieprobe,CS2103-T16-3
student,chensu2436,CS2103-T11-2
student,shawnpunchew11,CS2103-F09-2
student,jolynnn8D,CS2103-T14-3
student,sheryltay28,CS2103-T14-1
student,LiuZechu,CS2103-F09-3
student,jiayushe,CS2103T-W11-1
student,jessicax941,CS2103-T16-4
student,anqichen9856,CS2103T-T11-1
student,SimNee,CS2103T-T13-1
student,weikiat97,CS2103-T14-1
student,evelynejuliet,CS2103-F10-2
student,cheeyou,CS2103T-F14-4
student,nishcafe,CS2103T-T10-1
student,kensonoenqh,CS2103T-W12-2
student,seahlynn,CS2103T-T12-1
student,MichaelaTSH,CS2103T-T13-3
student,xiaoyu-nus,CS2103T-F11-2
student,keiteo,CS2103T-T12-4
student,hellopanda128,CS2103-T11-1
student,waifonglee,CS2103T-F12-4
student,mannggoo,CS2103T-T10-3
student,yhtingg,CS2103T-F11-3
student,Dandford,CS2103-T16-4
student,febee99,CS2103T-F11-2
student,weigenie,CS2103T-W12-1
student,michelleykw,CS2103T-F13-4
student,bernicechio,CS2103T-T13-2
student,yuhongtay,CS2103-T16-4
student,Yoshi275,CS2103-T11-1
student,hellodommy,CS2103T-T12-3
student,Joanna-YJA,CS2103T-F11-1
student,junhuplim,CS2103T-T12-3
student,KxxMxxx,CS2103T-T09-1
student,garylyp,CS2103T-T09-2
student,kwekke,CS2103T-T09-2
student,kerwin97,CS2103T-F14-2
student,tishyakhanna97,CS2103T-T17-2
student,jeunhoe,CS2103T-T12-3
student,larrylawl,CS2103-F09-4
student,ngzhaoming,CS2103T-T17-2
student,jonchan51,CS2103-T16-3
student,czkay,CS2103T-T11-1
student,joshuaseetss,CS2103T-W12-1
student,shiyao821,CS2103T-F13-1
student,YiJiee,CS2103T-T10-4
student,lawncegoh,CS2103T-W12-1
student,shawnlsj97,CS2103T-T12-3
student,jerryk1997,CS2103T-T17-1
student,swampertx,CS2103-T16-4
student,kenneth-fung,CS2103T-W13-4
student,jakq,CS2103T-W11-3
student,cambrian-dk,CS2103T-W13-4
student,weiijiie,CS2103T-F12-4
student,tiuweehan,CS2103T-W11-1
student,chowyiwai,CS2103-F09-3
student,chowyiyin,CS2103-F09-4
student,pohlinwei,CS2103T-T17-2
student,yaaanch,CS2103-F09-3
student,dorcastan,CS2103T-T13-4
student,gohsnn,CS2103T-T10-1
student,calvincxz,CS2103T-T11-3
student,linyutinglyt,CS2103T-F13-1
student,mrnewguy,CS2103T-T10-1
student,Zihawkeye,CS2103-T14-2
student,qiujiaaa,CS2103T-T09-4
student,kzrthikz,CS2103T-W13-1
student,ManasVegi,CS2103-F10-2
student,uggi121,CS2103T-F14-3
student,TanZhanMing,CS2103T-W12-1
student,caesarpjz,CS2103T-F14-2
student,philipalexanderb,CS2103T-T17-1
student,Abhiman2211,CS2103T-F11-1
student,sandydays,CS2103-F10-1
student,Seris370,CS2103T-W11-1
student,ROHITREDDYBALAM,CS2103T-W11-3
student,Raikonen,CS2103T-F13-2
